Class,Message
spam, Congratulations! You've won a $500 gift card! Claim now: [link]
ham, Let me know if you're coming to the party.
spam, Free vacation package awaits you. Call 123-456-7890.
ham, I’ll be late, stuck in traffic. Sorry!
ham, Please review the attached document for our meeting.
spam, Limited time! Buy 1, Get 1 Free! [link]
ham, Hey, are we still meeting at 6 PM tonight?
spam, Get a personal loan with zero interest. Apply today!
ham, Don't forget to send the report by tomorrow morning.
spam, Important! Update your payment details to avoid service interruption.
ham, See you at the coffee shop later!
spam, Urgent! Your account has been compromised. Verify here: [link]
ham, Your package has been delivered. Check your doorstep.
spam, Claim your free gift card. Visit [link].
ham, Can you pick up some milk on your way home?
ham, Just landed, I'll call you soon.
spam, Act now to claim your cash prize! Call 987-654-3210.
spam, Exclusive deal just for you. Click here: [link]
ham, Are we still good for the trip this weekend?
ham, Happy Birthday! Hope you have a great day.
spam, New job opportunity waiting for you! Apply at [link].
ham, Great job on the presentation today!
spam, Win a free iPhone! Click to enter: [link]
ham, Can you please share the notes from today's class?
ham, Are you free for lunch tomorrow?
spam, This is your last chance to grab this deal! [link]
spam, Get 50% off on all items! Limited time offer: [link]
ham, I got the tickets for the concert, can't wait!
ham, Let’s catch up soon. It’s been too long!
spam, Your account has been flagged. Verify immediately: [link]
ham, Reminder: Your dentist appointment is at 10 AM.
spam, Earn $500 daily from home! Learn more: [link]
spam, Your free trial is ending soon. Upgrade now: [link]
ham, Thanks for your help with the project.
spam, Urgent! Your warranty is about to expire. Renew now.
ham, Let's catch up soon. It's been too long!
spam, Your loan approval is ready. Apply now: [link]
ham, I'll text you when I’m on my way.
spam, Don't miss out on this exclusive offer. Sign up now!
spam, You have been selected for a $1000 cashback. Act now!
ham, Can we reschedule our meeting to 3 PM?
